Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.7206542,0.490811,9.557647,-0.39999998,-31.2,-43.2,-0.0074494,-0.0042568,-0.0148988,,0.038386166,-0.021009728,-0.99681705,0.06664
-0.7110774,0.5063733,9.471456,-0.39999998,-28.8,-44.4,-0.0063852,-0.0021284,-0.0148988,,0.03834638,-0.020946119,-0.9968293,0.06649926
-0.6979093,0.4955994,9.466667,-0.39999998,-28.8,-44.4,-0.005321,-0.0042568,-0.015963,,0.038320884,-0.02087626,-0.99684304,0.06633095
-0.7230484,0.4932052,9.5121565,-0.39999998,-30.6,-44.4,-0.0095778,-0.0042568,-0.015963,,0.038284447,-0.020830747,-0.9968553,0.06618179
-0.7290339,0.5135559,9.495398,-0.39999998,-30.6,-44.4,-0.0063852,-0.0031926,-0.0148988,,0.03824753,-0.020750143,-0.996868,0.06603498
-0.7146687,0.5099646,9.472652,-0.39999998,-30.0,-43.8,-0.0063852,-0.0021284,-0.015963,,0.03821968,-0.02069802,-0.9968796,0.065894604
-0.7038948,0.4920081,9.484623,-0.39999998,-30.0,-43.8,-0.0074494,-0.0031926,-0.0170272,,0.038196035,-0.020629857,-0.9968936,0.06571605
-0.7266397,0.5291182,9.516945,-0.39999998,-30.0,-43.8,-0.0074494,-0.0031926,-0.0170272,,0.03817081,-0.02057265,-0.9969061,0.06555999
-0.7122745,0.5183443,9.478638,0.20000005,-30.0,-43.8,-0.0063852,-0.0042568,-0.0148988,,0.038136758,-0.020498428,-0.9969214,0.06536977
-0.7003035,0.4991907,9.465469,0.20000005,-30.0,-43.8,-0.0063852,-0.0021284,-0.0148988,,0.038097605,-0.020448709,-0.99693316,0.06522938
-0.7242455,0.5219356,9.478638,-1.6,-30.6,-45.0,-0.0063852,-0.0021284,-0.0148988,,0.038083035,-0.020402126,-0.9969437,0.065089494
-0.7122745,0.5135559,9.507368,-1.6,-30.6,-45.0,-0.005321,-0.0031926,-0.0148988,,0.038061373,-0.020339897,-0.9969562,0.064930126
-0.7050919,0.5159501,9.4942,0.79999995,-30.6,-43.8,-0.0063852,-0.0021284,-0.0148988,,0.03803434,-0.020303875,-0.9969663,0.06480244
-0.730231,0.526724,9.470258,0.79999995,-30.6,-43.8,-0.005321,-0.0031926,-0.015963,,0.03802163,-0.02025996,-0.9969771,0.064658165
-0.7122745,0.514753,9.520536,-0.39999998,-29.4,-46.2,-0.0063852,-0.0031926,-0.0148988,,0.037988596,-0.02021188,-0.9969916,0.06446919
-0.7074861,0.4979936,9.458287,-0.39999998,-29.4,-46.2,-0.0063852,-0.0021284,-0.0148988,,0.037961792,-0.02016378,-0.99700224,0.06433481
-0.7050919,0.5231327,9.506171,-0.39999998,-29.4,-46.2,-0.0074494,-0.0021284,-0.0148988,,0.037943784,-0.020119652,-0.9970125,0.06419904
-0.7146687,0.5015849,9.495398,0.79999995,-30.6,-45.0,-0.0063852,-0.0031926,-0.015963,,0.037922416,-0.020045143,-0.9970256,0.06403299
-0.7290339,0.5255269,9.496594,0.79999995,-30.6,-45.0,-0.0074494,-0.0021284,-0.015963,,0.03790076,-0.020004468,-0.99703693,0.063880295
-0.7278368,0.5039791,9.4882145,0.79999995,-28.8,-44.4,-0.0063852,-0.0031926,-0.015963,,0.03788762,-0.019947935,-0.99704856,0.063725226
-0.7038948,0.5255269,9.515748,0.79999995,-28.8,-44.4,-0.0074494,-0.005321,-0.015963,,0.037852522,-0.019892259,-0.9970631,0.06353593
-0.6967122,0.5243298,9.487018,0.79999995,-30.0,-45.0,-0.0074494,-0.0031926,-0.015963,,0.037801974,-0.019841852,-0.99707603,0.06337836
-0.7122745,0.4991907,9.469061,0.79999995,-30.0,-45.0,-0.0063852,-0.0021284,-0.0148988,,0.037775718,-0.019785322,-0.9970882,0.0632206
-0.7242455,0.5003878,9.51096,0.79999995,-30.0,-45.0,-0.0074494,-0.0042568,-0.0170272,,0.03776242,-0.019739276,-0.9970989,0.063073315
-0.7158658,0.5099646,9.496594,0.20000005,-29.4,-45.0,-0.0063852,-0.0021284,-0.0138346,,0.037718404,-0.019670913,-0.9971147,0.062871546
-0.7050919,0.5003878,9.497791,0.20000005,-29.4,-45.0,-0.0063852,-0.0031926,-0.0148988,,0.03770106,-0.019626444,-0.9971245,0.06273941
-0.7146687,0.4740516,9.477441,0.20000005,-30.6,-44.4,-0.0063852,-0.0021284,-0.0138346,,0.037676524,-0.019576991,-0.9971352,0.062598
-0.7110774,0.5183443,9.489411,0.20000005,-30.6,-44.4,-0.0074494,-0.0021284,-0.0148988,,0.03766124,-0.019537676,-0.99714506,0.062463712
-0.7158658,0.5195414,9.4882145,-0.39999998,-30.6,-44.4,-0.0063852,-0.0021284,-0.015963,,0.037643105,-0.019475661,-0.9971575,0.06229513
-0.7050919,0.4944023,9.476244,-0.39999998,-30.6,-44.4,-0.0063852,-0.0042568,-0.015963,,0.03762702,-0.019430924,-0.99716836,0.062145542
